Subcategory	Category	HPO_term	number	HPO_text	Subcategory_old_name
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0011343	5	Moderate global developmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0011345	1	Moderate expressive language delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0006863	1	Severe expressive language delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0010529	2	Echolalia	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0012736	1	Profound global developmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001328	5	Specific learning disability	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0006889	2	Intellectual disability, borderline	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0006965	1	Acute necrotizing encephalopathy	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002463	1	Language impairment	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0000726	1	Dementia	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0011346	1	Mild expressive language delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002167	1	Neurological speech impairment	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002354	1	Memory impairment	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0007281	1	Developmental stagnation	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002187	1	Intellectual disability, profound	1-Dysfunction of higher cognitive abilities
motor delay	1-Neurodevelopmental	HP:0001270	72	Motor delay	1-Motor
motor delay	1-Neurodevelopmental	HP:0002194	12	Delayed gross motor development	1-Motor
motor delay	1-Neurodevelopmental	HP:0010862	7	Delayed fine motor development	1-Motor
neurovascular	1-Neurodevelopmental	HP:0000822	2	Hypertension	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0002077	2	Migraine with aura	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0001342	3	Cerebral hemorrhage	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0002140	3	Ischemic stroke	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0030746	2	Intraventricular hemorrhage	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0100309	2	Subdural hemorrhage	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0006543	1	Cardiorespiratory arrest	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0001658	1	Myocardial infarction	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0030749	1	Grade II preterm intraventricular hemorrhage	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0012158	1	Carotid artery dissection	1-Neurovascular
neurovascular	1-Neurodevelopmental	HP:0001297	7	Stroke	1-Neurovascular
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0007018	17	Attention deficit hyperactivity disorder	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000736	17	Short attention span	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000739	5	Anxiety	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0006919	6	Abnormal aggressive, impulsive or violent behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100710	7	Impulsivity	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100716	5	Self-injurious behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0012433	2	Abnormal social behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000752	3	Hyperactivity	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0031987	2	Diminished ability to concentrate	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0025160	1	Abnormal temper tantrums	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000735	5	Impaired social interactions	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000716	4	Depressivity	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100738	3	Abnormal eating behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100753	1	Schizophrenia	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000711	1	Restlessness	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000817	1	Poor eye contact	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0008760	1	Violent behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100033	1	Tics	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0008768	1	Inappropriate sexual behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0100035	1	Phonic tics	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000709	1	Psychosis	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000712	1	Emotional lability	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0012172	1	Stereotypical body rocking	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000718	1	Aggressive behavior	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0000708	1	Behavioral abnormality	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0011856	1	Pica	1-Only Abnormal behaviour and psychiatric symptoms
abn. behaviour and psychiatric symptoms	1-Neurodevelopmental	HP:0040183	1	Encopresis	1-Only Abnormal behaviour and psychiatric symptoms
autism	1-Neurodevelopmental	HP:0000717	58	Autism	1-Only Autism
autism	1-Neurodevelopmental	HP:0000729	45	Autistic behavior	1-Only Autism
abn. of vision and eyes	10-Sensory organs alterations	HP:0000505	11	Visual impairment	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0100704	1	Cerebral visual impairment	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000529	1	Progressive visual loss	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0007899	1	Retinal nonattachment	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000510	1	Rod-cone dystrophy	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0025514	1	Morning glory anomaly	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0011480	3	Unilateral microphthalmos	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0025069	3	Concomitant strabismus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0010877	3	Monocular strabismus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000556	3	Retinal dystrophy	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0025405	1	Visual fixation instability	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0009916	2	Anisocoria	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000646	2	Amblyopia	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000639	15	Nystagmus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0025404	2	Abnormal visual fixation	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000651	1	Diplopia	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0006934	1	Congenital nystagmus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000666	1	Horizontal nystagmus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0031613	1	Inferior chorioretinal coloboma	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000501	1	Glaucoma	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000662	1	Nyctalopia	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000520	1	Proptosis	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000572	1	Visual loss	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0007754	1	Macular dystrophy	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0001104	1	Macular hypoplasia	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0001583	1	Rotary nystagmus	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0020045	1	Esodeviation	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0000478	1	Abnormality of the eye	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0004328	1	Abnormal anterior eye segment morphology	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:000048	1	retinal coloboma (HP:0000480)	10-Abnormality of vision and eyes
abn. of vision and eyes	10-Sensory organs alterations	HP:0012377	1	Hemianopia	10-Abnormality of vision and eyes
congenital eye abnormalities	10-Sensory organs alterations	HP:0000612	3	Iris coloboma	10-Congenital eye anomalies
congenital eye abnormalities	10-Sensory organs alterations	HP:0000485	1	Megalocornea	10-Congenital eye anomalies
congenital eye abnormalities	10-Sensory organs alterations	HP:0000528	2	Anophthalmia	10-Congenital eye anomalies
congenital eye abnormalities	10-Sensory organs alterations	HP:0000588	1	Optic nerve coloboma	10-Congenital eye anomalies
congenital eye abnormalities	10-Sensory organs alterations	HP:0000589	2	Coloboma	10-Congenital eye anomalies
congenital eye abnormalities	10-Sensory organs alterations	HP:0000567	1	Chorioretinal coloboma	10-Congenital eye anomalies
hearing impairment	10-Sensory organs alterations	HP:0000407	23	Sensorineural hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0000365	38	Hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0000364	2	Hearing abnormality	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0000405	2	Conductive hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0012712	2	Mild hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0008527	2	Congenital sensorineural hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0011474	1	Childhood onset sensorineural hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0012713	1	Moderate hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0008625	1	Severe sensorineural hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0008504	1	Moderate sensorineural hearing impairment	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0000359	1	Abnormality of the inner ear	10-Hearing impairment
hearing impairment	10-Sensory organs alterations	HP:0008598	1	Mild conductive hearing impairment	10-Hearing impairment
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000483	19	Astigmatism	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000545	23	Myopia	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000540	26	Hypermetropia	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000484	5	Hyperopic astigmatism	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000518	5	Cataract	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0001118	2	Juvenile cataract	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0500008	1	Cornea verticillata	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0007957	1	Corneal opacity	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0007759	1	Opacification of the corneal stroma	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0012805	1	Iris transillumination defect	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0000519	3	Developmental cataract	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0008499	1	High hypermetropia	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0031728	1	Mild hypermetropia	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0012803	1	Anisometropia	10-Only anterior eye chamber anomalies
anterior eye chamber anomalies	10-Sensory organs alterations	HP:0031729	1	Moderate hypermetropia	10-Only anterior eye chamber anomalies
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002079	17	Hypoplasia of the corpus callosum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0000238	12	Hydrocephalus	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001321	12	Cerebellar hypoplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002188	12	Delayed CNS myelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001274	11	Agenesis of corpus callosum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002126	10	Polymicrogyria	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001272	8	Cerebellar atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006970	7	Periventricular leukomalacia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002352	5	Leukoencephalopathy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012443	5	Abnormality of brain morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002134	2	Abnormality of the basal ganglia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007183	2	Focal T2 hyperintense basal ganglia lesion	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012448	3	Delayed myelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001305	4	Dandy-Walker malformation	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001320	4	Cerebellar vermis hypoplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002283	3	Global brain atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001302	3	Pachygyria	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001338	2	Partial agenesis of the corpus callosum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006855	2	Cerebellar vermis atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002514	2	Cerebral calcification	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002060	2	Abnormal cerebral morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007369	2	Atrophy/Degeneration affecting the cerebrum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007352	1	Cerebellar calcifications	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006989	2	Dysplastic corpus callosum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002500	2	Abnormality of the cerebral white matter	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007266	2	Cerebral dysmyelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002120	2	Cerebral cortical atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002171	2	Gliosis	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0000609	2	Optic nerve hypoplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002539	2	Cortical dysplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0025100	2	Abnormal morphology of the hippocampus	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0003429	2	CNS hypomyelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002119	2	Ventriculomegaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006892	2	Frontotemporal cerebral atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0032388	2	Periventricular nodular heterotopia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0003396	2	Syringomyelia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002536	2	Abnormal cortical gyration	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002365	1	Hypoplasia of the brainstem	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007165	1	Periventricular heterotopia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007361	1	Abnormality of the pons	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002518	1	Abnormality of the periventricular white matter	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012762	1	Cerebral white matter atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002545	1	Patchy demyelination of subcortical white matter	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0011400	1	Abnormal CNS myelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001317	1	Abnormal cerebellum morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006882	1	Severe hydrocephalus	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006872	1	Cerebral hypoplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006955	1	Olivopontocerebellar hypoplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001339	1	Lissencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007260	1	Type II lissencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002419	1	Molar tooth sign on MRI	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0000932	1	Abnormal posterior cranial fossa morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002308	1	Arnold-Chiari malformation	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012447	1	Abnormal myelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007305	1	CNS demyelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006808	5	Cerebral hypomyelination	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002415	4	Leukodystrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0000587	4	Abnormality of the optic nerve	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007099	4	Arnold-Chiari type I malformation	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0100842	3	Septo-optic dysplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012444	3	Brain atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001048	2	Cavernous hemangioma	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0045028	1	Microlissencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002538	1	Abnormality of the cerebral cortex	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002444	1	Hypothalamic hamartoma	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002475	1	Myelomeningocele	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006988	1	Alobar holoprosencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002507	1	Semilobar holoprosencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002408	1	Cerebral arteriovenous malformation	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0006956	1	Dilation of lateral ventricles	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002190	1	Choroid plexus cyst	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012766	1	Widened cerebral subarachnoid space	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012704	1	Widened subarachnoid space	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012692	1	Focal T2 hyperintense thalamic lesion	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002118	1	Abnormality of the cerebral ventricles	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002334	1	Abnormality of the cerebellar vermis	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002139	1	Arrhinencephaly	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0012677	1	Iron accumulation in globus pallidus	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007162	1	Diffuse demyelination of the cerebral white matter	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0032391	1	Subcortical heterotopia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002269	4	Abnormality of neuronal migration	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0009145	1	Abnormal cerebral artery morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002282	1	Gray matter heterotopia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002059	1	Cerebral atrophy	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0001273	1	Abnormal corpus callosum morphology	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002410	1	Aqueductal stenosis	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007033	1	Cerebellar dysplasia	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0002181	1	Cerebral edema	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0007370	1	Aplasia/Hypoplasia of the corpus callosum	11-Abnormal findings in MRI of head
abn. in head MRI	11-Abnormal findings of Head MR	HP:0030048	1	Colpocephaly	11-Abnormal findings in MRI of head
potentially incidential finding in head MRI	11-Abnormal findings of Head MR	HP:0002135	2	Basal ganglia calcification	11-Potential incidentals
